,url,legit
0,https://imgur.com/a/yk8VCjc,0
1,https://imgur.com/a/iXxIfQ8,1
2,https://www.ebay.com/itm/273221863076,1
3,https://imgur.com/gallery/ZkvinFa,0
4,https://www.ebay.com/itm/Washington-Capitals-2011-Winter-Classic-Reebok-Edge-White-Authentic-Jersey/371605589789?hash=item56856b4f1d%3Am%3AmYmdE_kjqf7Bw6orn2B9heQ&var=640614660398,1
5,https://rover.ebay.com/rover/0/0/0?mpre=https%3A%2F%2Fwww.ebay.ca%2Fulk%2Fitm%2F112888284414,0
6,https://rover.ebay.com/rover/0/0/0?mpre=https%3A%2F%2Fwww.ebay.com%2Fulk%2Fitm%2F222999888706,0
7,https://rover.ebay.com/rover/0/0/0?mpre=https%3A%2F%2Fwww.ebay.com%2Fulk%2Fitm%2F163064833666,1
8,https://rover.ebay.com/rover/0/0/0?mpre=https%3A%2F%2Fwww.ebay.ca%2Fulk%2Fitm%2F302646747007,1
9,https://www.ebay.com/itm/PITTSBURGH-PENGUINS-2005-SEMI-PRO-CCM-BLACK-HOCKEY-JERSEY-SMALL-NWT/152667660789?hash=item238bb3a1f5:g:w~kAAOSwqYBWpmix:sc:USPSPriority!43214!US!-1,1
10,https://m.ebay.com/itm/San-Jose-Sharks-Vintage-Authentic-Home-Reebok-Jersey/173244839236?hash=item2856327544:g:bPwAAOSw-btavr2Q,1
11,https://m.ebay.com/itm/Reebok-NHL-Jersey-Detroit-Redwings-Jimmy-Howard-Red-sz-S-/302385864359?_mwBanner=1&_rdt=1,1
12,https://imgur.com/a/IyiLSlZ,0
13,https://imgur.com/gallery/zdg9q4u,1
14,https://imgur.com/gallery/m5uzByv,1
15,https://www.ebay.com/p/Detroit-Red-Wings-Reebok-Edge-White-Authentic-Jersey-Adult-56/1510386624?iid=371566512974&var=640586467662,1
16,https://www.ebay.com/itm/Reebok-NHL-Jersey-Detroit-Red-Wings-Nicklas-Lidstrom-White-Away-size-S/223000734582?hash=item33ebe12b76:g:NFYAAOSwIzBbEKcZ,1
17,https://imgur.com/a/BA3URFP,1
18,https://www.ebay.com/itm/VINTAGE\-NEW\-YORK\-RANGERS\-BRIAN\-LEETCH\-CCM\-WHITE\-LIBERTY\-CAPTAINS\-C\-JERSEY\-M/183222721309?\_trkparms=aid&#37;3D111001&#37;26algo&#37;3DREC.SEED&#37;26ao&#37;3D1&#37;26asc&#37;3D20160908105057&#37;26meid&#37;3Da087197026b84292b8b487b4445c61a2&#37;26pid&#37;3D100675&#37;26rk&#37;3D3&#37;26rkt&#37;3D15&#37;26sd&#37;3D232793128144&#37;26itm&#37;3D183222721309&\_trksid=p2481888.c100675.m4236&\_trkparms=pageci&#37;3A1fc1afd4\-6841\-11e8\-bf5a\-74dbd1801aa4&#37;7Cparentrq&#37;3Accc68f231630a9ccc6cc3e8ffff9b2da&#37;7Ciid&#37;3A1,1
19,https://rover.ebay.com/rover/0/0/0?mpre=https%3A%2F%2Fwww.ebay.com%2Fulk%2Fitm%2F113035422287,0
20,https://www.ebay.com/itm/Marc-Andre-Fluery-Stanley-Cup-Jersey-Las-Vegas-Golden-Knights-Adult-Large/202332645538?hash=item2f1bf728a2:g:w08AAOSwK6NbFdHv,1
21,https://www.ebay.com/itm/Nashville-Predators-76-P-K-Subban-road-White-Jersey/273258268852?hash=item3f9f7648b4:g:zcIAAOSw6VRbFI8R,0
22,https://rover.ebay.com/rover/0/0/0?mpre=https%3A%2F%2Fwww.ebay.ca%2Fulk%2Fitm%2F221592305928,1
